<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
01/06/22,01:00:00,1.0732000,1.0734000,1.0729600,1.0730700,29748
01/06/22,02:00:00,1.0730400,1.0738000,1.0729000,1.0736500,19233
01/06/22,03:00:00,1.0736400,1.0738000,1.0731000,1.0733700,16778
01/06/22,04:00:00,1.0733700,1.0734600,1.0725000,1.0728000,47547
01/06/22,05:00:00,1.0727000,1.0728500,1.0707000,1.0717300,56061
01/06/22,06:00:00,1.0716900,1.0721300,1.0706000,1.0716500,51596
01/06/22,07:00:00,1.0716500,1.0722000,1.0712000,1.0718400,38008
01/06/22,08:00:00,1.0718100,1.0718800,1.0705000,1.0713400,43648
01/06/22,09:00:00,1.0714200,1.0715500,1.0703000,1.0709800,43504
01/06/22,10:00:00,1.0709700,1.0725800,1.0705000,1.0723900,77300
01/06/22,11:00:00,1.0724000,1.0737400,1.0710000,1.0714800,107693
01/06/22,12:00:00,1.0714000,1.0739300,1.0712000,1.0718000,105857
01/06/22,13:00:00,1.0717600,1.0727000,1.0712000,1.0725000,67743
01/06/22,14:00:00,1.0725900,1.0728500,1.0712000,1.0717300,62833
01/06/22,15:00:00,1.0716900,1.0720400,1.0700000,1.0708000,79439
01/06/22,16:00:00,1.0707600,1.0727800,1.0704000,1.0726100,95104
01/06/22,17:00:00,1.0725800,1.0730800,1.0701000,1.0707100,107163
01/06/22,18:00:00,1.0708400,1.0708600,1.0650000,1.0667100,204031
01/06/22,19:00:00,1.0667100,1.0667900,1.0625000,1.0644200,142804
01/06/22,20:00:00,1.0644200,1.0648000,1.0636000,1.0638700,89720
01/06/22,21:00:00,1.0638700,1.0654000,1.0635000,1.0650700,68668
01/06/22,22:00:00,1.0651300,1.0659100,1.0643000,1.0655100,70881
01/06/22,23:00:00,1.0655000,1.0660600,1.0648000,1.0649900,56653
02/06/22,00:00:00,1.0649900,1.0654700,1.0645000,1.0646600,26825
02/06/22,01:00:00,1.0646200,1.0654000,1.0641000,1.0650800,6290
02/06/22,02:00:00,1.0650600,1.0654000,1.0646000,1.0652000,19355
02/06/22,03:00:00,1.0651500,1.0654200,1.0648000,1.0650900,19797
02/06/22,04:00:00,1.0650100,1.0659600,1.0644000,1.0655600,49830
02/06/22,05:00:00,1.0656300,1.0657900,1.0645000,1.0654500,49440
02/06/22,06:00:00,1.0654700,1.0658300,1.0643000,1.0649700,50522
02/06/22,07:00:00,1.0649700,1.0655100,1.0647000,1.0654300,43824
02/06/22,08:00:00,1.0654200,1.0657700,1.0651000,1.0657100,28192
02/06/22,09:00:00,1.0657000,1.0665600,1.0648000,1.0657900,40906
02/06/22,10:00:00,1.0658000,1.0679000,1.0656700,1.0676400,64559
02/06/22,11:00:00,1.0676100,1.0692100,1.0673000,1.0685500,87813
02/06/22,12:00:00,1.0685500,1.0695300,1.0683000,1.0683700,60362
02/06/22,13:00:00,1.0684300,1.0690900,1.0679000,1.0688000,48896
02/06/22,14:00:00,1.0688300,1.0697200,1.0681000,1.0695100,59793
02/06/22,15:00:00,1.0694500,1.0696700,1.0682000,1.0693900,66357
02/06/22,16:00:00,1.0693700,1.0716200,1.0683000,1.0702700,126199
02/06/22,17:00:00,1.0703200,1.0711600,1.0690000,1.0699200,135484
02/06/22,18:00:00,1.0699200,1.0718500,1.0694000,1.0715500,147601
02/06/22,19:00:00,1.0715500,1.0738400,1.0711000,1.0730000,99500
02/06/22,20:00:00,1.0731900,1.0745000,1.0729000,1.0744000,62006
02/06/22,21:00:00,1.0744000,1.0748300,1.0736000,1.0745100,51488
02/06/22,22:00:00,1.0745200,1.0748900,1.0737000,1.0738900,48217
02/06/22,23:00:00,1.0738900,1.0749000,1.0736000,1.0748700,47242
03/06/22,00:00:00,1.0748400,1.0750200,1.0743600,1.0745100,23898
03/06/22,01:00:00,1.0744000,1.0756000,1.0737800,1.0747100,6036
03/06/22,02:00:00,1.0746400,1.0751400,1.0745000,1.0747000,21341
03/06/22,03:00:00,1.0748100,1.0751000,1.0745000,1.0750200,21807
03/06/22,04:00:00,1.0749400,1.0763000,1.0745000,1.0758900,53233
03/06/22,05:00:00,1.0758500,1.0762200,1.0752000,1.0759700,51511
03/06/22,06:00:00,1.0759300,1.0764700,1.0754000,1.0757800,45911
03/06/22,07:00:00,1.0757300,1.0760000,1.0750000,1.0753600,36848
03/06/22,08:00:00,1.0752600,1.0754300,1.0744000,1.0746100,33703
03/06/22,09:00:00,1.0745400,1.0755700,1.0743000,1.0754100,32932
03/06/22,10:00:00,1.0754100,1.0758500,1.0749000,1.0753200,50648
03/06/22,11:00:00,1.0752900,1.0760600,1.0743000,1.0755600,62227
03/06/22,12:00:00,1.0756400,1.0762500,1.0748000,1.0753100,59706
03/06/22,13:00:00,1.0753400,1.0755700,1.0741000,1.0747000,52424
03/06/22,14:00:00,1.0746800,1.0747500,1.0732000,1.0739000,55281
03/06/22,15:00:00,1.0739800,1.0746400,1.0724000,1.0727900,76633
03/06/22,16:00:00,1.0728200,1.0739600,1.0702000,1.0714000,174195
03/06/22,17:00:00,1.0715800,1.0752000,1.0713000,1.0743400,166160
03/06/22,18:00:00,1.0744100,1.0748700,1.0714000,1.0722400,153485
03/06/22,19:00:00,1.0723000,1.0723200,1.0709000,1.0710800,81669
03/06/22,20:00:00,1.0710900,1.0729100,1.0709000,1.0728000,58607
03/06/22,21:00:00,1.0728500,1.0729500,1.0714000,1.0718600,50036
03/06/22,22:00:00,1.0718800,1.0722000,1.0714000,1.0720500,36936
03/06/22,23:00:00,1.0720900,1.0722200,1.0715000,1.0720100,38944
04/06/22,00:00:00,1.0719700,1.0722000,1.0713000,1.0716900,21995
04/06/22,01:00:00,1.0719000,1.0719000,1.0718000,1.0719000,3
06/06/22,01:00:00,1.0721300,1.0721500,1.0715100,1.0719000,3180
06/06/22,02:00:00,1.0718800,1.0726000,1.0713000,1.0723900,31136
06/06/22,03:00:00,1.0723900,1.0729800,1.0719000,1.0725000,25773
06/06/22,04:00:00,1.0725400,1.0731700,1.0714000,1.0715000,46874
06/06/22,05:00:00,1.0716200,1.0722200,1.0708000,1.0714600,56918
06/06/22,06:00:00,1.0715200,1.0725700,1.0712000,1.0722000,38727
06/06/22,07:00:00,1.0722000,1.0726000,1.0719000,1.0724300,28348
06/06/22,08:00:00,1.0725200,1.0727900,1.0719000,1.0727100,30380
06/06/22,09:00:00,1.0726500,1.0736200,1.0725000,1.0726000,40413
06/06/22,10:00:00,1.0726900,1.0733600,1.0716000,1.0722000,65706
06/06/22,11:00:00,1.0723800,1.0742400,1.0722000,1.0741700,99417
06/06/22,12:00:00,1.0741600,1.0752000,1.0737000,1.0750400,85795
06/06/22,13:00:00,1.0750400,1.0751200,1.0737000,1.0744800,62865
06/06/22,14:00:00,1.0744000,1.0746200,1.0722000,1.0727900,58362
06/06/22,15:00:00,1.0727600,1.0732100,1.0722000,1.0729000,53828
06/06/22,16:00:00,1.0730400,1.0731400,1.0714000,1.0722300,64685
06/06/22,17:00:00,1.0722000,1.0723500,1.0703000,1.0713900,66596
06/06/22,18:00:00,1.0713800,1.0723900,1.0690000,1.0717600,100521
06/06/22,19:00:00,1.0717500,1.0721700,1.0682000,1.0696700,94542
06/06/22,20:00:00,1.0697000,1.0702200,1.0688000,1.0700500,59078
06/06/22,21:00:00,1.0700400,1.0703200,1.0693000,1.0698500,50582
06/06/22,22:00:00,1.0698500,1.0700000,1.0686000,1.0690600,54523
06/06/22,23:00:00,1.0689800,1.0697000,1.0683000,1.0695500,53336
07/06/22,00:00:00,1.0695300,1.0697200,1.0690000,1.0695100,24490
07/06/22,01:00:00,1.0695500,1.0700000,1.0689300,1.0694000,16025
07/06/22,02:00:00,1.0693200,1.0695000,1.0689000,1.0694100,32125
07/06/22,03:00:00,1.0693900,1.0695300,1.0683000,1.0689000,42969
07/06/22,04:00:00,1.0689200,1.0692100,1.0678000,1.0684300,71338
07/06/22,05:00:00,1.0683000,1.0685000,1.0671000,1.0679900,69247
07/06/22,06:00:00,1.0679900,1.0681100,1.0669000,1.0676000,56512
07/06/22,07:00:00,1.0675200,1.0684700,1.0671000,1.0681200,46850
07/06/22,08:00:00,1.0681200,1.0700100,1.0676000,1.0682400,78197
07/06/22,09:00:00,1.0682800,1.0683400,1.0669000,1.0673000,99892
07/06/22,10:00:00,1.0674000,1.0692700,1.0663000,1.0685500,107053
07/06/22,11:00:00,1.0685600,1.0694700,1.0680000,1.0687300,105424
07/06/22,12:00:00,1.0686700,1.0705000,1.0677000,1.0678500,95175
07/06/22,13:00:00,1.0679300,1.0691800,1.0672000,1.0677500,72352
07/06/22,14:00:00,1.0677400,1.0682800,1.0669000,1.0673300,84862
07/06/22,15:00:00,1.0673300,1.0675500,1.0656000,1.0661900,91166
07/06/22,16:00:00,1.0661500,1.0672900,1.0652000,1.0655400,92782
07/06/22,17:00:00,1.0655400,1.0697600,1.0650000,1.0687800,116598
07/06/22,18:00:00,1.0687800,1.0709900,1.0673000,1.0704900,125545
07/06/22,19:00:00,1.0704700,1.0707800,1.0689000,1.0696600,95776
07/06/22,20:00:00,1.0696700,1.0708300,1.0694000,1.0701000,60523
07/06/22,21:00:00,1.0700700,1.0701500,1.0692000,1.0694900,48209
07/06/22,22:00:00,1.0694500,1.0714200,1.0691000,1.0707000,53892
07/06/22,23:00:00,1.0707000,1.0712200,1.0703000,1.0707700,43583
08/06/22,00:00:00,1.0707900,1.0708600,1.0698000,1.0703100,17206
08/06/22,01:00:00,1.0699800,1.0707300,1.0697000,1.0704600,4195
08/06/22,02:00:00,1.0704600,1.0708000,1.0698000,1.0704600,18024
08/06/22,03:00:00,1.0704900,1.0706900,1.0695000,1.0697200,35600
08/06/22,04:00:00,1.0697000,1.0701300,1.0690000,1.0692900,49093
08/06/22,05:00:00,1.0692900,1.0693700,1.0682000,1.0686300,66413
08/06/22,06:00:00,1.0686300,1.0696000,1.0684000,1.0690200,46524
08/06/22,07:00:00,1.0690300,1.0692000,1.0679000,1.0682800,49845
08/06/22,08:00:00,1.0683600,1.0684600,1.0677000,1.0678300,33776
08/06/22,09:00:00,1.0678300,1.0691000,1.0676000,1.0688000,37915
08/06/22,10:00:00,1.0687500,1.0694900,1.0684000,1.0687400,72765
08/06/22,11:00:00,1.0687400,1.0695100,1.0680000,1.0688700,102755
08/06/22,12:00:00,1.0688600,1.0694900,1.0674000,1.0678800,98632
08/06/22,13:00:00,1.0678900,1.0709000,1.0670000,1.0704100,90791
08/06/22,14:00:00,1.0703900,1.0729000,1.0702000,1.0719200,99201
08/06/22,15:00:00,1.0719400,1.0739900,1.0713000,1.0735600,92363
08/06/22,16:00:00,1.0735300,1.0740900,1.0717000,1.0730900,100658
08/06/22,17:00:00,1.0731700,1.0748600,1.0723000,1.0741100,123913
08/06/22,18:00:00,1.0741000,1.0745500,1.0727000,1.0731300,124471
08/06/22,19:00:00,1.0731500,1.0742200,1.0726000,1.0741600,85370
08/06/22,20:00:00,1.0741700,1.0743400,1.0723000,1.0728300,64246
08/06/22,21:00:00,1.0728300,1.0728500,1.0715000,1.0718300,59122
08/06/22,22:00:00,1.0719000,1.0720400,1.0711000,1.0715800,47944
08/06/22,23:00:00,1.0715800,1.0719600,1.0711000,1.0713400,40819
09/06/22,00:00:00,1.0713800,1.0717100,1.0711000,1.0715700,22109
09/06/22,01:00:00,1.0716300,1.0718100,1.0712700,1.0715400,6404
09/06/22,02:00:00,1.0714900,1.0720700,1.0710000,1.0718700,34078
09/06/22,03:00:00,1.0718600,1.0721000,1.0714000,1.0716200,23819
09/06/22,04:00:00,1.0716600,1.0718100,1.0707000,1.0711900,50334
09/06/22,05:00:00,1.0711000,1.0714900,1.0708000,1.0711100,49826
09/06/22,06:00:00,1.0711500,1.0723700,1.0709000,1.0723100,49882
09/06/22,07:00:00,1.0723000,1.0733700,1.0718000,1.0728000,45407
09/06/22,08:00:00,1.0729200,1.0732800,1.0724000,1.0726600,35330
09/06/22,09:00:00,1.0726600,1.0729700,1.0717000,1.0718900,52838
09/06/22,10:00:00,1.0718500,1.0720100,1.0707000,1.0714200,75319
09/06/22,11:00:00,1.0713800,1.0716700,1.0700000,1.0702200,96874
09/06/22,12:00:00,1.0701800,1.0717600,1.0692000,1.0715400,92549
09/06/22,13:00:00,1.0715000,1.0719600,1.0710000,1.0715000,60211
09/06/22,14:00:00,1.0716100,1.0724400,1.0711000,1.0719000,75305
09/06/22,15:00:00,1.0718600,1.0749800,1.0687000,1.0728300,228954
09/06/22,16:00:00,1.0728300,1.0773900,1.0721000,1.0734100,303811
09/06/22,17:00:00,1.0734200,1.0743000,1.0679000,1.0686900,285959
09/06/22,18:00:00,1.0686700,1.0687400,1.0643000,1.0648700,201433
09/06/22,19:00:00,1.0648700,1.0666300,1.0644000,1.0657100,144814
09/06/22,20:00:00,1.0657500,1.0660000,1.0644000,1.0652400,82395
09/06/22,21:00:00,1.0651000,1.0655000,1.0617000,1.0638800,82251
09/06/22,22:00:00,1.0638600,1.0643900,1.0624000,1.0626200,63676
09/06/22,23:00:00,1.0626200,1.0627000,1.0610000,1.0612800,64352
10/06/22,00:00:00,1.0612800,1.0620500,1.0609000,1.0614600,30321
10/06/22,01:00:00,1.0616300,1.0619000,1.0613800,1.0617000,23363
10/06/22,02:00:00,1.0618200,1.0620600,1.0609000,1.0615100,35657
10/06/22,03:00:00,1.0615600,1.0622000,1.0611000,1.0618000,29859
10/06/22,04:00:00,1.0619100,1.0624200,1.0610000,1.0623800,50587
